2018-07-27 10:00:28 startup archives install
2018-07-27 10:00:28 install base-passwd:armhf <none> 3.5.43
2018-07-27 10:00:28 status half-installed base-passwd:armhf 3.5.43
2018-07-27 10:00:28 status unpacked base-passwd:armhf 3.5.43
2018-07-27 10:00:28 status unpacked base-passwd:armhf 3.5.43
2018-07-27 10:00:28 configure base-passwd:armhf 3.5.43 3.5.43
2018-07-27 10:00:28 status unpacked base-passwd:armhf 3.5.43
2018-07-27 10:00:28 status half-configured base-passwd:armhf 3.5.43
2018-07-27 10:00:30 status installed base-passwd:armhf 3.5.43
2018-07-27 10:00:30 startup archives install
2018-07-27 10:00:30 install base-files:armhf <none> 9.9+deb9u5
2018-07-27 10:00:30 status half-installed base-files:armhf 9.9+deb9u5
2018-07-27 10:00:31 status unpacked base-files:armhf 9.9+deb9u5
2018-07-27 10:00:31 status unpacked base-files:armhf 9.9+deb9u5
2018-07-27 10:00:31 configure base-files:armhf 9.9+deb9u5 9.9+deb9u5
2018-07-27 10:00:31 status unpacked base-files:armhf 9.9+deb9u5
2018-07-27 10:00:31 status unpacked base-files:armhf 9.9+deb9u5
2018-07-27 10:00:31 status unpacked base-files:armhf 9.9+deb9u5
2018-07-27 10:00:31 status unpacked base-files:armhf 9.9+deb9u5
2018-07-27 10:00:31 status unpacked base-files:armhf 9.9+deb9u5
2018-07-27 10:00:31 status unpacked base-files:armhf 9.9+deb9u5
2018-07-27 10:00:31 status unpacked base-files:armhf 9.9+deb9u5
2018-07-27 10:00:31 status half-configured base-files:armhf 9.9+deb9u5
2018-07-27 10:00:33 status installed base-files:armhf 9.9+deb9u5
2018-07-27 10:00:34 startup archives install
2018-07-27 10:00:34 upgrade dpkg 1.18.25 1.18.25
2018-07-27 10:00:34 status half-configured dpkg 1.18.25
2018-07-27 10:00:34 status unpacked dpkg 1.18.25
2018-07-27 10:00:34 status half-installed dpkg 1.18.25
2018-07-27 10:00:35 status half-installed dpkg 1.18.25
2018-07-27 10:00:35 status unpacked dpkg:armhf 1.18.25
2018-07-27 10:00:35 status unpacked dpkg:armhf 1.18.25
2018-07-27 10:00:35 configure dpkg:armhf 1.18.25 1.18.25
2018-07-27 10:00:35 status unpacked dpkg:armhf 1.18.25
